updateDate	line	rule	project	effort	type	cleanCodeAttribute	issueStatus	flows	scope	key	severity	comments	author	cleanCodeAttributeCategory	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2024-12-04T01:33:08+0100	106.0	javascript:S6582	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	7e380002-52fd-45ff-94ea-cc622bf47871	MINOR		shehazimanar@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Prefer using an optional chain expression instead, as it's more concise and easier to read.	2024-11-24T23:52:09+0100	false			nutritrack:service/MealPlanService.js	false	{startLine=106.0, endLine=106.0, startOffset=8.0, endOffset=29.0}	5min	86c720da6c104d0ad385902b82e2eb15	OPEN
2024-12-04T01:33:08+0100	137.0	javascript:S6582	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	35c99027-1302-4adf-9045-22c521172d82	MINOR		shehazimanar@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Prefer using an optional chain expression instead, as it's more concise and easier to read.	2024-11-24T23:52:09+0100	false			nutritrack:service/MealPlanService.js	false	{startLine=137.0, endLine=137.0, startOffset=8.0, endOffset=29.0}	5min	86c720da6c104d0ad385902b82e2eb15	OPEN
2024-12-04T01:33:08+0100	7.0	javascript:S905	nutritrack	10min	BUG	CLEAR	OPEN		MAIN	961b2643-4976-43f8-ad37-1e4bc0d486ee	MAJOR		shehazimanar@gmail.com	INTENTIONAL		"{softwareQuality=RELIABILITY, severity=MEDIUM} / "	Expected an assignment or function call and instead saw an expression.	2024-11-22T00:47:40+0100	false	"cwe / unused / "		nutritrack:controllers/Meal.js	false	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=13.0}	10min	bab13235521fe34f6f480c7a939e7a8e	OPEN
2024-12-04T01:33:08+0100	3.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	31bdd694-0779-4fa3-a86e-c5fcc83efd03	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=8.0}	5min	cb4aeff690bb6d6e9eab1c21a57234dc	OPEN
2024-12-04T01:33:08+0100	4.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	1a36cfbc-f8e8-4683-af43-30e1a7eb68f1	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=8.0}	5min	d24c3e4ae7cc2de102fd1087f85e43f8	OPEN
2024-12-04T01:33:08+0100	7.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	44aad9dc-cc1c-430c-aa1e-f260ab5743c5	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=13.0}	5min	690fa53532a446f1681833b556c0f29f	OPEN
2024-12-04T01:33:08+0100	8.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	6b145b29-f29b-4f4e-9eff-9e7e0d4d5268	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=14.0}	5min	935b0ffe061eb8bab436086242e1019f	OPEN
2024-12-04T01:33:08+0100	11.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	5bc13a35-2213-4b82-9dbc-d205a554f509	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=11.0}	5min	463a6a595aa6033b73c0d7bbba41c944	OPEN
2024-12-04T01:33:08+0100	17.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	00654bf4-8faa-4d5e-9388-27120c5f44ed	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=17.0, endLine=17.0, startOffset=0.0, endOffset=20.0}	5min	b1c20d1294984bf12391c6b69aac1f49	OPEN
2024-12-04T01:33:08+0100	18.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	95d8c6b2-8c86-4efd-b4ec-e23b6e2af953	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-19T19:06:32+0100	true	"es2015 / bad-practice / "		nutritrack:index.js	false	{startLine=18.0, endLine=18.0, startOffset=0.0, endOffset=7.0}	5min	d33bb644d811b1d83c76ad8abd460b2e	OPEN
2024-12-04T01:33:08+0100	3.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	1e073b37-9950-4b5e-af09-446845725fcb	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-16T05:20:19+0100	true	"es2015 / bad-practice / "		nutritrack:controllers/FoodLog.js	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=9.0}	5min	df6d8ef3e356f2f5e6ccff3ffc11e02c	OPEN
2024-12-04T01:33:08+0100	4.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	5bfc463f-e852-495a-ae8b-5f9f28122ee2	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-16T05:20:19+0100	true	"es2015 / bad-practice / "		nutritrack:controllers/FoodLog.js	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=11.0}	5min	05cf8a7fe60d0574c5328035d4b6cae1	OPEN
2024-12-04T01:33:08+0100	3.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	b1018ee6-8a5b-4b1c-83d0-1747be4239ab	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-16T05:20:19+0100	true	"es2015 / bad-practice / "		nutritrack:controllers/Ingredient.js	false	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=9.0}	5min	df6d8ef3e356f2f5e6ccff3ffc11e02c	OPEN
2024-12-04T01:33:08+0100	4.0	javascript:S3504	nutritrack	5min	CODE_SMELL	CLEAR	OPEN		MAIN	710d248c-9115-4d04-b6e8-d3827659af9c	CRITICAL		hsadia538@gmail.com	INTENTIONAL		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Unexpected var, use let or const instead.	2024-11-16T05:20:19+0100	true	"es2015 / bad-practice / "		nutritrack:controllers/Ingredient.js	false	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=14.0}	5min	49ea4348c41b431e00c8d8af28ca9646	OPEN
